probe_dir_mode,probe_mode,topology,N,probe_eps,graphs,mean_score,mean_std,mean_censored
fiedler,add_to_dx,grid2d_periodic,1024,0.002,5,0.0005796369768280066,0.001486993002356772,0.13333333333333333
fiedler,add_to_dx,grid2d_periodic,1024,0.005,5,0.0015814217947741735,0.0038426198554596933,0.13333333333333333
fiedler,add_to_dx,grid2d_periodic,1024,0.01,5,0.0036392274894876397,0.008584794911208369,0.13333333333333333
fiedler,add_to_dx,grid2d_periodic,1024,0.02,5,0.01996276314625643,0.06129082539509474,0.13333333333333333
fiedler,add_to_dx,grid2d_periodic,1024,0.035,5,0.030217708633339217,0.08537784298081909,0.1
fiedler,add_to_dx,grid2d_periodic,1024,0.05,5,0.0368744773898586,0.09217893045371171,0.13333333333333333
fiedler,add_to_dx,grid2d_periodic,1024,0.07,5,0.045136969597298765,0.10078405127727244,0.16666666666666666
fiedler,add_to_dx,grid2d_periodic,1024,0.1,5,0.059202019274038495,0.11282925344979214,0.2
fiedler,add_to_dx,grid2d_periodic,1024,0.14,5,0.07989909165577354,0.13422468542963226,0.26666666666666666
fiedler,add_to_dx,grid2d_periodic,1024,0.2,5,0.0960185299462458,0.2037162402847879,0.3
fiedler,add_to_dx,grid2d_periodic,2048,0.002,5,-0.0007537087820939154,0.002164545079505836,0.23333333333333334
fiedler,add_to_dx,grid2d_periodic,2048,0.005,5,-0.0017765866640091885,0.00543844914561306,0.2
fiedler,add_to_dx,grid2d_periodic,2048,0.01,5,-0.003376080786928298,0.01039949016101108,0.2
fiedler,add_to_dx,grid2d_periodic,2048,0.02,5,-0.006246667970303726,0.01958170764775102,0.26666666666666666
fiedler,add_to_dx,grid2d_periodic,2048,0.035,5,-0.009620879567416236,0.03466002273688846,0.26666666666666666
fiedler,add_to_dx,grid2d_periodic,2048,0.05,5,-0.012613541540082932,0.04914940909109417,0.3
fiedler,add_to_dx,grid2d_periodic,2048,0.07,5,-0.01733485250107988,0.06536335323592696,0.3333333333333333
fiedler,add_to_dx,grid2d_periodic,2048,0.1,5,-0.020919315577785733,0.09716192429925255,0.3333333333333333
fiedler,add_to_dx,grid2d_periodic,2048,0.14,5,-0.02961759387878681,0.14936975148732856,0.3333333333333333
fiedler,add_to_dx,grid2d_periodic,2048,0.2,5,-0.051085515274045604,0.21988615726005517,0.36666666666666664
fiedler,add_to_dx,grid2d_periodic,4096,0.002,5,0.0005319501337430194,0.0028521878546635955,0.4666666666666667
fiedler,add_to_dx,grid2d_periodic,4096,0.005,5,0.0008568988477171633,0.004792576676103663,0.4666666666666667
fiedler,add_to_dx,grid2d_periodic,4096,0.01,5,0.0011905550439422717,0.007338332098315846,0.4666666666666667
