topology,N,seed,kfile,src,file,gap_mean,gap_std,gap_cv,gap_min,gap_max,gap_max_over_min,band_lo,band_hi,band_len
grid2d_periodic,1024,30,48,key:eigs,C:\Users\veilbreaker\string_theory\preprint5_topology_universality\analysis_spectral_band_fits\lambda_cache\_quarantine_extra_g30_g31_k48\eigs_grid2d_periodic_N1024_g30_k48.npz,0.011899065183334034,0.029442901285611084,2.474387763405914,0.0,0.11381149578388333,,1,47,47
grid2d_periodic,1024,31,48,key:eigs,C:\Users\veilbreaker\string_theory\preprint5_topology_universality\analysis_spectral_band_fits\lambda_cache\_quarantine_extra_g30_g31_k48\eigs_grid2d_periodic_N1024_g31_k48.npz,0.011899065183334105,0.029442901285611247,2.474387763405913,2.7755575615628914e-17,0.11381149578388314,4100491280022199.0,1,47,47
grid2d_periodic,2048,30,48,key:eigs,C:\Users\veilbreaker\string_theory\preprint5_topology_universality\analysis_spectral_band_fits\lambda_cache\_quarantine_extra_g30_g31_k48\eigs_grid2d_periodic_N2048_g30_k48.npz,0.01189906518333421,0.029442901285610747,2.4743877634058493,0.0,0.11381149578388533,,1,47,47
grid2d_periodic,2048,31,48,key:eigs,C:\Users\veilbreaker\string_theory\preprint5_topology_universality\analysis_spectral_band_fits\lambda_cache\_quarantine_extra_g30_g31_k48\eigs_grid2d_periodic_N2048_g31_k48.npz,0.01189906518333415,0.02944290128561105,2.474387763405887,0.0,0.11381149578388511,,1,47,47
grid2d_periodic,256,30,48,key:eigs,C:\Users\veilbreaker\string_theory\preprint5_topology_universality\analysis_spectral_band_fits\lambda_cache\_quarantine_extra_g30_g31_k48\eigs_grid2d_periodic_N256_g30_k48.npz,0.0401686753265778,0.10284974948754769,2.5604466328890028,0.0,0.4335455026494749,,1,47,47
grid2d_periodic,256,31,48,key:eigs,C:\Users\veilbreaker\string_theory\preprint5_topology_universality\analysis_spectral_band_fits\lambda_cache\_quarantine_extra_g30_g31_k48\eigs_grid2d_periodic_N256_g31_k48.npz,0.04016867532657777,0.10284974948754773,2.5604466328890054,0.0,0.4335455026494712,,1,47,47
grid2d_periodic,4096,30,48,key:eigs,C:\Users\veilbreaker\string_theory\preprint5_topology_universality\analysis_spectral_band_fits\lambda_cache\_quarantine_extra_g30_g31_k48\eigs_grid2d_periodic_N4096_g30_k48.npz,0.003100225833083094,0.007682430332263249,2.4780228105586977,2.7755575615628914e-17,0.02879889253792954,1037589453620019.5,1,47,47
grid2d_periodic,4096,31,48,key:eigs,C:\Users\veilbreaker\string_theory\preprint5_topology_universality\analysis_spectral_band_fits\lambda_cache\_quarantine_extra_g30_g31_k48\eigs_grid2d_periodic_N4096_g31_k48.npz,0.003100225833083074,0.007682430332263016,2.4780228105586386,6.938893903907228e-18,0.02879889253792818,4150357814479882.0,1,47,47
grid2d_periodic,512,30,48,key:eigs,C:\Users\veilbreaker\string_theory\preprint5_topology_universality\analysis_spectral_band_fits\lambda_cache\_quarantine_extra_g30_g31_k48\eigs_grid2d_periodic_N512_g30_k48.npz,0.04016867532657793,0.10284974948754723,2.5604466328889828,0.0,0.4335455026494659,,1,47,47
grid2d_periodic,512,31,48,key:eigs,C:\Users\veilbreaker\string_theory\preprint5_topology_universality\analysis_spectral_band_fits\lambda_cache\_quarantine_extra_g30_g31_k48\eigs_grid2d_periodic_N512_g31_k48.npz,0.040168675326577814,0.10284974948754788,2.5604466328890068,1.1102230246251565e-16,0.43354550264947267,3905030728360639.0,1,47,47
ring,1024,30,48,key:eigs,C:\Users\veilbreaker\string_theory\preprint5_topology_universality\analysis_spectral_band_fits\lambda_cache\_quarantine_extra_g30_g31_k48\eigs_ring_N1024_g30_k48.npz,0.0023386535402067864,0.0029181489593979085,1.2477901960372815,4.85722573273506e-17,0.008743767961745919,180015680614093.72,1,47,47
ring,1024,31,48,key:eigs,C:\Users\veilbreaker\string_theory\preprint5_topology_universality\analysis_spectral_band_fits\lambda_cache\_quarantine_extra_g30_g31_k48\eigs_ring_N1024_g31_k48.npz,0.002338653540206784,0.0029181489593978188,1.2477901960372446,7.112366251504909e-17,0.008743767961745197,122937537980346.53,1,47,47
ring,2048,30,48,key:eigs,C:\Users\veilbreaker\string_theory\preprint5_topology_universality\analysis_spectral_band_fits\lambda_cache\_quarantine_extra_g30_g31_k48\eigs_ring_N2048_g30_k48.npz,0.0005873696716828795,0.0007340104740845451,1.2496567485030736,1.9081958235744878e-17,0.0022053995182593975,115575115038674.55,1,47,47
ring,2048,31,48,key:eigs,C:\Users\veilbreaker\string_theory\preprint5_topology_universality\analysis_spectral_band_fits\lambda_cache\_quarantine_extra_g30_g31_k48\eigs_ring_N2048_g31_k48.npz,0.000587369671682873,0.0007340104740847137,1.2496567485033745,1.3877787807814457e-17,0.002205399518258426,158915783178107.5,1,47,47
ring,256,30,48,key:eigs,C:\Users\veilbreaker\string_theory\preprint5_topology_universality\analysis_spectral_band_fits\lambda_cache\_quarantine_extra_g30_g31_k48\eigs_ring_N256_g30_k48.npz,0.03410179261885832,0.04131754679916099,1.2115945710230012,0.0,0.11651122802470737,,1,47,47
ring,256,31,48,key:eigs,C:\Users\veilbreaker\string_theory\preprint5_topology_universality\analysis_spectral_band_fits\lambda_cache\_quarantine_extra_g30_g31_k48\eigs_ring_N256_g31_k48.npz,0.03410179261885834,0.04131754679916124,1.2115945710230078,7.632783294297951e-17,0.11651122802470693,1526457958157233.5,1,47,47
ring,4096,30,48,key:eigs,C:\Users\veilbreaker\string_theory\preprint5_topology_universality\analysis_spectral_band_fits\lambda_cache\_quarantine_extra_g30_g31_k48\eigs_ring_N4096_g30_k48.npz,0.00014701199974953192,0.00018378324615101282,1.2501241154744442,2.5370330836160804e-17,0.0005525705225333357,21780185922752.992,1,47,47
ring,4096,31,48,key:eigs,C:\Users\veilbreaker\string_theory\preprint5_topology_universality\analysis_spectral_band_fits\lambda_cache\_quarantine_extra_g30_g31_k48\eigs_ring_N4096_g31_k48.npz,0.00014701199974949478,0.0001837832461507953,1.2501241154732805,1.441988889405721e-17,0.0005525705225287534,38320026360014.555,1,47,47
ring,512,30,48,key:eigs,C:\Users\veilbreaker\string_theory\preprint5_topology_universality\analysis_spectral_band_fits\lambda_cache\_quarantine_extra_g30_g31_k48\eigs_ring_N512_g30_k48.npz,0.009183198804373712,0.011390586190455094,1.2403723836437106,1.3010426069826053e-16,0.03374827326103774,259394066573324.38,1,47,47
ring,512,31,48,key:eigs,C:\Users\veilbreaker\string_theory\preprint5_topology_universality\analysis_spectral_band_fits\lambda_cache\_quarantine_extra_g30_g31_k48\eigs_ring_N512_g31_k48.npz,0.009183198804373639,0.011390586190455057,1.2403723836437164,1.3704315460216776e-16,0.03374827326103741,246260189784799.2,1,47,47
rr,1024,30,48,key:eigs,C:\Users\veilbreaker\string_theory\preprint5_topology_universality\analysis_spectral_band_fits\lambda_cache\_quarantine_extra_g30_g31_k48\eigs_rr_N1024_g30_k48.npz,0.007860779572225848,0.004605685612319407,0.5859069790727215,6.200122514499196e-05,0.020878693890508337,336.74647302021543,1,47,47
rr,1024,31,48,key:eigs,C:\Users\veilbreaker\string_theory\preprint5_topology_universality\analysis_spectral_band_fits\lambda_cache\_quarantine_extra_g30_g31_k48\eigs_rr_N1024_g31_k48.npz,0.007719945315859625,0.003940238189778775,0.5103971632654013,0.0004676575965146812,0.015526823690046654,33.20126478381544,1,47,47
rr,2048,30,48,key:eigs,C:\Users\veilbreaker\string_theory\preprint5_topology_universality\analysis_spectral_band_fits\lambda_cache\_quarantine_extra_g30_g31_k48\eigs_rr_N2048_g30_k48.npz,0.004524734501350812,0.0026732221367215983,0.5908019875914345,0.0005793413837618111,0.012948059561895375,22.349619628103085,1,47,47
rr,2048,31,48,key:eigs,C:\Users\veilbreaker\string_theory\preprint5_topology_universality\analysis_spectral_band_fits\lambda_cache\_quarantine_extra_g30_g31_k48\eigs_rr_N2048_g31_k48.npz,0.004017148765132647,0.0022659378088945407,0.5640661925597666,0.0011269403981301052,0.01021343176295797,9.062974208666917,1,47,47
rr,256,30,48,key:eigs,C:\Users\veilbreaker\string_theory\preprint5_topology_universality\analysis_spectral_band_fits\lambda_cache\_quarantine_extra_g30_g31_k48\eigs_rr_N256_g30_k48.npz,0.025768196897586713,0.01343580407423763,0.5214103310230427,0.0032176286690499545,0.06718887760338366,20.88148898276134,1,47,47
rr,256,31,48,key:eigs,C:\Users\veilbreaker\string_theory\preprint5_topology_universality\analysis_spectral_band_fits\lambda_cache\_quarantine_extra_g30_g31_k48\eigs_rr_N256_g31_k48.npz,0.025493900969997214,0.01247921435934196,0.4894980322559605,0.004189393075387349,0.0615420881916402,14.68997706450595,1,47,47
rr,4096,30,48,key:eigs,C:\Users\veilbreaker\string_theory\preprint5_topology_universality\analysis_spectral_band_fits\lambda_cache\_quarantine_extra_g30_g31_k48\eigs_rr_N4096_g30_k48.npz,0.002611051074240956,0.001473200521441567,0.5642174279834158,0.00035672255691221455,0.007647658378839295,21.438673362955566,1,47,47
rr,4096,31,48,key:eigs,C:\Users\veilbreaker\string_theory\preprint5_topology_universality\analysis_spectral_band_fits\lambda_cache\_quarantine_extra_g30_g31_k48\eigs_rr_N4096_g31_k48.npz,0.002683198862943031,0.0016928454783955282,0.6309057080244709,0.0004939347728804,0.009607257021130633,19.45045691985915,1,47,47
sbm2,1024,30,48,key:eigs,C:\Users\veilbreaker\string_theory\preprint5_topology_universality\analysis_spectral_band_fits\lambda_cache\_quarantine_extra_g30_g31_k48\eigs_sbm2_N1024_g30_k48.npz,0.007899731317825759,0.006667324248868778,0.8439937993617515,0.0004345062927071375,0.03214166501193544,73.97284124858305,1,47,47
sbm2,1024,31,48,key:eigs,C:\Users\veilbreaker\string_theory\preprint5_topology_universality\analysis_spectral_band_fits\lambda_cache\_quarantine_extra_g30_g31_k48\eigs_sbm2_N1024_g31_k48.npz,0.008029523872921607,0.008282422213540905,1.031496056879806,0.0002496807320067074,0.04810934275841247,192.68344165668367,1,47,47
sbm2,2048,30,48,key:eigs,C:\Users\veilbreaker\string_theory\preprint5_topology_universality\analysis_spectral_band_fits\lambda_cache\_quarantine_extra_g30_g31_k48\eigs_sbm2_N2048_g30_k48.npz,0.006819086985615387,0.009573411137556165,1.4039139195248458,0.0002800918829591881,0.052564392754018446,187.66839009639403,1,47,47
sbm2,2048,31,48,key:eigs,C:\Users\veilbreaker\string_theory\preprint5_topology_universality\analysis_spectral_band_fits\lambda_cache\_quarantine_extra_g30_g31_k48\eigs_sbm2_N2048_g31_k48.npz,0.005487739663690544,0.004559130193101327,0.8307847078218138,0.0005305579594494514,0.019467262016164055,36.69205535313204,1,47,47
sbm2,256,30,48,key:eigs,C:\Users\veilbreaker\string_theory\preprint5_topology_universality\analysis_spectral_band_fits\lambda_cache\_quarantine_extra_g30_g31_k48\eigs_sbm2_N256_g30_k48.npz,0.022194123358646855,0.016397411248066047,0.7388177033664003,0.001344394449399433,0.07812313042089306,58.11027444794358,1,47,47
